uid,name,slug,count,uri,icon,thumbnails
2d643ff5ed03405b9c34ecdffff9d8d8,Characters & Creatures,characters-creatures,4568,https://api.sketchfab.com/v3/categories/2d643ff5ed03405b9c34ecdffff9d8d8,https://static.sketchfab.com/static/builds/web/dist/static/assets/images/icons/categories/characters-creatures-v2-353b00e9dd345a74e8951391f9580363.svg,"[{'width': '512', 'height': '288', 'url': 'https://static.sketchfab.com/categories/2d643ff5ed03405b9c34ecdffff9d8d8/512x288.png'}, {'width': '800', 'height': '450', 'url': 'https://static.sketchfab.com/categories/2d643ff5ed03405b9c34ecdffff9d8d8/800x450.png'}]"
f825c721edb541dbbc8cd210123616c7,Architecture,architecture,1639,https://api.sketchfab.com/v3/categories/f825c721edb541dbbc8cd210123616c7,https://static.sketchfab.com/static/builds/web/dist/static/assets/images/icons/categories/architecture-v2-c8c283111adea361d1204fab19f25afe.svg,"[{'width': '512', 'height': '288', 'url': 'https://static.sketchfab.com/categories/f825c721edb541dbbc8cd210123616c7/512x288.png'}, {'width': '800', 'height': '450', 'url': 'https://static.sketchfab.com/categories/f825c721edb541dbbc8cd210123616c7/800x450.png'}]"
86f23935367b4a1f9647c8a20e03d716,Cultural Heritage & History,cultural-heritage-history,1184,https://api.sketchfab.com/v3/categories/86f23935367b4a1f9647c8a20e03d716,https://static.sketchfab.com/static/builds/web/dist/static/assets/images/icons/categories/cultural-heritage-history-v2-75bc7a227679de03f173aeceea2815f9.svg,"[{'width': '512', 'height': '288', 'url': 'https://static.sketchfab.com/categories/86f23935367b4a1f9647c8a20e03d716/512x288.png'}, {'width': '800', 'height': '450', 'url': 'https://static.sketchfab.com/categories/86f23935367b4a1f9647c8a20e03d716/800x450.png'}]"
ed9e048550b2478eb1ab2faaba192832,Animals & Pets,animals-pets,581,https://api.sketchfab.com/v3/categories/ed9e048550b2478eb1ab2faaba192832,https://static.sketchfab.com/static/builds/web/dist/static/assets/images/icons/categories/animals-pets-v2-f38a543ae33e56bf02f8e1146109cfc2.svg,"[{'width': '512', 'height': '288', 'url': 'https://static.sketchfab.com/categories/ed9e048550b2478eb1ab2faaba192832/512x288.png'}, {'width': '800', 'height': '450', 'url': 'https://static.sketchfab.com/categories/ed9e048550b2478eb1ab2faaba192832/800x450.png'}]"
c51b29706d4e4e93a82e5eea7cbe6f91,Places & Travel,places-travel,508,https://api.sketchfab.com/v3/categories/c51b29706d4e4e93a82e5eea7cbe6f91,https://static.sketchfab.com/static/builds/web/dist/static/assets/images/icons/categories/places-travel-v2-d3739281f6242276a0e88c8cacce045e.svg,"[{'width': '512', 'height': '288', 'url': 'https://static.sketchfab.com/categories/c51b29706d4e4e93a82e5eea7cbe6f91/512x288.png'}, {'width': '800', 'height': '450', 'url': 'https://static.sketchfab.com/categories/c51b29706d4e4e93a82e5eea7cbe6f91/800x450.png'}]"
93e6d27da62149c6b963039835f45997,People,people,321,https://api.sketchfab.com/v3/categories/93e6d27da62149c6b963039835f45997,https://static.sketchfab.com/static/builds/web/dist/static/assets/images/icons/categories/people-v2-25a5eba54bfecdba35a69e195f351b9a.svg,"[{'width': '512', 'height': '288', 'url': 'https://static.sketchfab.com/categories/93e6d27da62149c6b963039835f45997/512x288.png'}, {'width': '800', 'height': '450', 'url': 'https://static.sketchfab.com/categories/93e6d27da62149c6b963039835f45997/800x450.png'}]"
17d20ca7b35243d4a45171838b50704c,Science & Technology,science-technology,316,https://api.sketchfab.com/v3/categories/17d20ca7b35243d4a45171838b50704c,https://static.sketchfab.com/static/builds/web/dist/static/assets/images/icons/categories/science-technology-v2-4cdfd8bc2ecb71d6fe654fb4fd656e86.svg,"[{'width': '512', 'height': '288', 'url': 'https://static.sketchfab.com/categories/17d20ca7b35243d4a45171838b50704c/512x288.png'}, {'width': '800', 'height': '450', 'url': 'https://static.sketchfab.com/categories/17d20ca7b35243d4a45171838b50704c/800x450.png'}]"
e56c5de1e9344241909de76c5886f551,Art & Abstract,art-abstract,240,https://api.sketchfab.com/v3/categories/e56c5de1e9344241909de76c5886f551,https://static.sketchfab.com/static/builds/web/dist/static/assets/images/icons/categories/art-abstract-v2-e193b7cf485a561d51ffaf859ca11798.svg,"[{'width': '512', 'height': '288', 'url': 'https://static.sketchfab.com/categories/e56c5de1e9344241909de76c5886f551/512x288.png'}, {'width': '800', 'height': '450', 'url': 'https://static.sketchfab.com/categories/e56c5de1e9344241909de76c5886f551/800x450.png'}]"
d7cebaeca8604ebab1480e413404b679,Electronics & Gadgets,electronics-gadgets,191,https://api.sketchfab.com/v3/categories/d7cebaeca8604ebab1480e413404b679,https://static.sketchfab.com/static/builds/web/dist/static/assets/images/icons/categories/electronics-gadgets-v2-0ab153efd5d7f45974cd6c646ae1e57e.svg,"[{'width': '512', 'height': '288', 'url': 'https://static.sketchfab.com/categories/d7cebaeca8604ebab1480e413404b679/512x288.png'}, {'width': '800', 'height': '450', 'url': 'https://static.sketchfab.com/categories/d7cebaeca8604ebab1480e413404b679/800x450.png'}]"
606f202e5a3c4e62bf9aab1cd9f63e1b,Furniture & Home,furniture-home,114,https://api.sketchfab.com/v3/categories/606f202e5a3c4e62bf9aab1cd9f63e1b,https://static.sketchfab.com/static/builds/web/dist/static/assets/images/icons/categories/furniture-home-v2-0348f88a03cd432ef55413f209f4bfef.svg,"[{'width': '512', 'height': '288', 'url': 'https://static.sketchfab.com/categories/606f202e5a3c4e62bf9aab1cd9f63e1b/512x288.png'}, {'width': '800', 'height': '450', 'url': 'https://static.sketchfab.com/categories/606f202e5a3c4e62bf9aab1cd9f63e1b/800x450.png'}]"
22a2f677efad4d7bbca5ad45f9b5868e,Cars & vehicles,cars-vehicles,103,https://api.sketchfab.com/v3/categories/22a2f677efad4d7bbca5ad45f9b5868e,https://static.sketchfab.com/static/builds/web/dist/static/assets/images/icons/categories/cars-vehicles-v2-ffc8633d8536ff7adee44efc04b265a4.svg,"[{'width': '512', 'height': '288', 'url': 'https://static.sketchfab.com/categories/22a2f677efad4d7bbca5ad45f9b5868e/512x288.png'}, {'width': '800', 'height': '450', 'url': 'https://static.sketchfab.com/categories/22a2f677efad4d7bbca5ad45f9b5868e/800x450.png'}]"
3badf36bd9f549bdba295334d75e04d3,Weapons & Military,weapons-military,96,https://api.sketchfab.com/v3/categories/3badf36bd9f549bdba295334d75e04d3,https://static.sketchfab.com/static/builds/web/dist/static/assets/images/icons/categories/weapons-military-v2-2b7829dcd92e3f338041923a0e24f089.svg,"[{'width': '512', 'height': '288', 'url': 'https://static.sketchfab.com/categories/3badf36bd9f549bdba295334d75e04d3/512x288.png'}, {'width': '800', 'height': '450', 'url': 'https://static.sketchfab.com/categories/3badf36bd9f549bdba295334d75e04d3/800x450.png'}]"
