uid,likes,views
24f14334625f4e5ab214ca85ada37df0,327,20816
3c3f5bfb98284924a70cf410ab532bc9,35,3963
bdcf4843e0964da2931aa7ab1fc1b99d,84,261871
ecad293392294dc4b0c3298242421f79,1183,37116
1341e21c6424434bb71657eddbc7648a,11,5401
690cd0234aa3448d8f9b06766406fbca,0,4295
3a30ee8200e14be99059f789bf97bf81,56,2341
95eb02bf32d44100ad8959e762a91269,162,11716
c051c16426b0445fa7109df7ff067e47,93,2549
7681512a940343009498c06c30fc5f1a,23,2576
9b0d260e63174ac8873cb56919cc76f9,33,9822
52a9d8ac30c244d79d71897489cfb4e7,92,3069
6bc8fa2bb7af4955ac0248aba7f752d4,98,3767
c63a0c6070bf45a1a53c29fc17a7c840,12,3188
7a520b45e259426bb597a1b412eebed0,140,4539
1e1ea01e8c9b43f9b041327268b82558,45,3510
1a70cbf17c7b41af8cf0d68c1fdad417,218,3178
22596293d1eb491fb376070e5804f439,73,7612
91219e0069704538a7b678aedd14dfaf,97,8657
a9b41d7d574245ba9c078a5419cd80a5,192,10670
3d7e71e6ee7d4590bf83914f5be7a6c8,97,4722
7f7c720f4edc4e59bdeadd156e58d84c,3,2967
5b3df66fe51d4afcb6c9d9f236729aac,125,2953
7b500686890b496891661483f608478d,0,2818
185c9d561e2f434eb5e4cff2131f53e8,160,8437
d0b567e704284e2cafe80ed28991a9ad,148,3263
3272f2d5e27b48728ce67c4380eb915f,27,4070
5ce76a4f54c0423d96fc82c968c7d555,224,4247
aab648f79f5244bb8657225672c68e83,43,2889
60fa4eb465fe4ffe956d42cad360fa49,46,3247
8bae7d1580504d57b802f98bbb8c6489,33,6647
6840e3fb045247f7b7dbc84d67c813bf,447,13963
384414ae742b437ab7d22981f2a9da09,52,4735
a42d103f241143f78d5117dacd2a123a,250,4003
7dbb16af57364ffcb50f31ff0beaa336,148,4229
25d6dfeb8944432296fa117d75d67823,16,2988
aad94c527cd84466b72df8cc3f399e90,346,8057
79379596a62440d89d399316ee5f6e2e,35,4829
53f49eccf99a4e618641221722edd792,126,9163
9d918d77569d451aafaa78a3071cfd54,118,10130
e7b94cc1d11d4638bb366e9805154092,1,5475
16702ecdcf10459794514a5178ac87f0,148,6498
925ac4db447e4bb385b1a799dd0c1c32,105,3157
00fa5ba5223944e18fdf77a9c11c68a1,44,5963
1b31da096d644530b05a2a2e7acb79af,592,32075
2ded3bf9f3474b00bdbe1509f13bd9e6,15,3923
ec218ab5f2ee4db4a341ee461e0b5a8a,246,4348
50f23bbdc14247049b5bd92d854a82b1,66,4222
43fcd9bc5090400099b091312c7f4161,413,7097
47e9041f5a0b4b3db4cbf633cd31f00a,14,5426
764e1cce9d6e49879a165efb2059ffff,180,8142
7801bd55fd004019bc9cddbe775bdb80,68,4625
bc31e26ca3ae463a9bb97fff74e0ce3b,27,3841
9550494a901d46dabd19d94c8c76bbee,179,6471
83a0d1ce2d124bcd84f92608c1ed422b,106,6683
d8f22d4261c04e11b4c3d1aedaaa5efe,59,2802
26f795e3c0424ba1883fdfffc5eed7d1,286,5968
9790613d2f76439f8d2202ce71bf61ba,76,2342
6323ed47e7d44accb52b6c9863b9ef64,628,17810
65cd2eee84544eea856c0215dd67bc3d,321,11022
4defd9d3dd9b461d9333c00269b0a0ab,65,2384
e76e5770fe784ce28dc412b54bc39872,105,12779
f5d9420379fd49b387bb6a446e3546c9,38,2499
5feab496844247bd84a14317299a70ca,233,5138
404b3313395f410e955752d9b0f506d0,127,3125
a0655abf83cd4554b6e365a4910b7416,36,3881
833a44cb4b7147ac83f050972e4ccfe0,8,3629
d4t9ol9cy4VyrtBkjeXilqvaoTD,28,3730
9d3cfa9ee9e14920bb1134c4f9544778,162,8035
ed7d83bd6eda4b51abe6a60924261e20,118,3341
2a293525d3564336afb24426d4f4f84f,277,4117
ac49200dde344642879fe81b6174639a,83,5369
6debb1c92879416b94a9670aca1f1512,2,3470
02967ecf3220483dae9990bf786e2955,218,6213
aea11315edf54e57adab754142a7b72e,81,2409
480d7b11b575451b80fb66a7b1bf55d4,100,8272
a13e31fc16fc4b8c886056d6627f632f,58,3317
1b5a3809e9bd4454911e2b57c8c40199,65,3327
7821b30c2f8545ccac3e8b8a305d5082,215,10675
14b136b4853a4fc2925452b02e8cc125,15,14433
b2b679065af341acbf05665334960e5c,90,10276
20ea8edb2b7043b1a98a0b6ae18684bb,118,4738
cd9b15092ac147dfbd93fb96bac60985,62,3721
9dc97b71785444aa8a3c12df0a220da0,860,22356
d5d0151bdda644258417a17bd1b0de56,11,6399
348c08db83b44337b4e7f65f004b499f,63,4083
4efbde10c43a49fc8a7a685bce5eb971,121,4043
0ceb0634c89349b6bec27d19228835e9,181,6027
43e2ab6f5c574120a2a1aba39eb2b62d,271,14056
160e3f5e535a44a28de8cf0912eb07ac,0,4627
